pt_name,pt_id,attr_set,attr_set_id
Bouquets-Bunches,133858,Type-of-Flowers,2166
Bouquets-Bunches,133858,Colour-of-Flower,2168
Basket-Arrangements,134134,Type-of-Flowers,2171
Basket-Arrangements,134134,Colour-of-Flower,2173
